#{"t_start": 1658865452.5116673, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
6,50,99.84243,0.44,0.4559361489857
-2,50,100.078991,0.52,0.5288874215912842
0,50,100.297042,0.5,0.4738756613756614
-4,50,100.537096,0.54,0.5046017137416693
-10,50,100.758147,0.6,0.6151136727505604
6,50,101.038211,0.44,0.4068076668869795
4,50,101.275265,0.46,0.467797783933518
-2,50,101.520401,0.52,0.4857142857142857
-6,50,101.751454,0.56,0.5284270372710044
-18,50,101.991707,0.68,0.6867749419953596
6,50,102.223758,0.44,0.4006892230576441
-10,50,102.482816,0.6,0.5690843452576304
2,50,102.713868,0.48,0.49965612104539203
-4,50,102.973432,0.54,0.5193251533742331
-8,50,103.244493,0.58,0.5509020618556701
-8,50,103.685802,0.58,0.5661358466038349
-6,50,103.904851,0.56,0.5206611570247934
2,50,104.178916,0.48,0.47171620325982744
12,50,104.432971,0.38,0.348993288590604
10,50,104.708034,0.4,0.40083306632489585
-6,50,104.934592,0.56,0.5573087228341769
2,50,105.202653,0.48,0.431470496409616
16,50,105.45471,0.34,0.33759246805648957
0,50,105.718772,0.5,0.46929541047188106
-2,50,105.953825,0.52,0.5247035573122529
-2,50,106.198881,0.52,0.5350734094616639
2,50,106.41593,0.48,0.5604813172894236
2,50,106.659945,0.48,0.44855842185128986
-14,50,106.870994,0.64,0.650384744061559
8,50,107.131052,0.42,0.4334437086092715
-4,50,107.35251,0.54,0.5112634671890304
-2,50,107.593565,0.52,0.49200952057123426
-6,50,107.805614,0.56,0.5708333333333333
2,50,108.059671,0.48,0.5292604501607717
-14,50,108.27172,0.64,0.622809917355372
-6,50,108.507775,0.56,0.54496
0,50,108.934873,0.5,0.5092776673293572
0,50,109.201933,0.5,0.4813538075838295
0,50,109.441988,0.5,0.5144278606965174
0,50,109.697047,0.5,0.4996817313812858
-4,50,109.9301,0.54,0.5753887762001352
0,50,110.246178,0.5,0.49034267912772583
6,50,110.463228,0.44,0.4671223958333333
8,50,110.725287,0.42,0.42418661755678333
2,50,110.957341,0.48,0.48342175066313
0,50,111.215399,0.5,0.5063118389628113
16,50,111.452454,0.34,0.307556080283353
-2,50,111.708512,0.52,0.5320803629293583
4,50,111.935333,0.46,0.49564375605033884
-2,50,112.184391,0.52,0.5435466946484785
-8,50,112.396441,0.58,0.54688
0,50,112.654499,0.5,0.5214238628872775
4,50,112.872548,0.46,0.4351663272233537
2,50,113.121605,0.48,0.4775075987841945
6,50,113.342655,0.44,0.4690533980582524
16,50,113.600715,0.34,0.3394822006472492
-6,50,114.083825,0.56,0.5757575757575758
6,50,114.335883,0.44,0.42870999030067897
4,50,114.574939,0.46,0.487012987012987
6,50,114.988931,0.44,0.4139433551198257
-2,50,115.297509,0.52,0.5547303842428156
16,50,115.545565,0.34,0.37551669316375197
-2,50,115.747612,0.52,0.5212330921673483
8,50,115.972663,0.42,0.3956007879185817
12,50,116.226736,0.38,0.3637271214642263
8,50,116.531794,0.42,0.42284820031298903
6,50,116.772851,0.44,0.4424552429667519
-2,50,117.025792,0.52,0.5326301911667766
-2,50,117.258845,0.52,0.4797427652733119
0,50,117.527907,0.5,0.4773801485482782
10,50,117.761117,0.4,0.4006339144215531
