#{"t_start": 1658275058.4206622, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
34,50,170.319556,0.16,0.1696969696969697
34,50,170.620625,0.16,0.16804407713498623
28,50,170.926694,0.22,0.2532099134069872
30,50,171.214765,0.2,0.21437539234149403
24,50,171.531839,0.26,0.279
32,50,172.092984,0.18,0.1469223631302196
32,50,172.401055,0.18,0.2062564455139223
34,50,172.656114,0.16,0.1538218572331017
28,50,172.97268,0.22,0.1997514756135446
26,50,173.265744,0.24,0.23481271639911866
28,50,173.56732,0.22,0.22408874801901743
34,50,173.867389,0.16,0.144
26,50,174.175566,0.24,0.25716928769657726
44,50,174.424623,0.06,0.05350553505535055
24,50,174.663678,0.26,0.29630861323578317
38,50,174.93374,0.12,0.11412665274878218
32,50,175.201801,0.18,0.1995420346745175
32,50,175.429238,0.18,0.19756738987508218
40,50,175.687298,0.1,0.0841553637484587
38,50,175.947834,0.12,0.12003751172241325
28,50,176.215894,0.22,0.2000662471016893
32,50,176.468951,0.18,0.19036621577037283
36,50,176.755097,0.14,0.14982467325470195
36,50,177.010154,0.14,0.13270142180094788
34,50,177.268213,0.16,0.15479876160990713
34,50,177.713111,0.16,0.1752541184717841
28,50,177.958167,0.22,0.22241261137765592
36,50,178.226228,0.14,0.18656987295825772
28,50,178.494039,0.22,0.19892665474060822
32,50,178.724089,0.18,0.19702719797596457
36,50,178.98815,0.14,0.15089779005524862
36,50,179.24721,0.14,0.1460823373173971
36,50,179.518271,0.14,0.1316030534351145
28,50,179.756329,0.22,0.2289955780164245
32,50,180.026391,0.18,0.19447815533980584
24,50,180.272447,0.26,0.2590453025235634
28,50,180.54651,0.22,0.2714904143475572
28,50,180.787565,0.22,0.20253598355037697
26,50,181.048625,0.24,0.23123218245169463
30,50,181.288363,0.2,0.18439288942452545
34,50,181.551427,0.16,0.1540973871733967
28,50,181.80649,0.22,0.2020759000973078
36,50,182.102558,0.14,0.13836104513064132
28,50,182.352615,0.22,0.25554808338937457
34,50,182.610677,0.16,0.1720768988339111
38,50,182.851732,0.12,0.16073825503355704
36,50,183.343845,0.14,0.16661367249602543
22,50,183.5819,0.28,0.2811131957473421
26,50,183.840959,0.24,0.2079407806191117
32,50,184.075012,0.18,0.19783370500159286
38,50,184.327073,0.12,0.1352032776552159
36,50,184.570132,0.14,0.15235983528666455
32,50,184.833192,0.18,0.191296180338134
40,50,185.073762,0.1,0.10751012776565909
36,50,185.327822,0.14,0.1539203084832905
28,50,185.561875,0.22,0.27158821537419575
42,50,185.829935,0.08,0.1091307066916823
22,50,186.06799,0.28,0.3001642036124795
38,50,186.332052,0.12,0.12862796833773088
36,50,186.585109,0.14,0.150559511698881
42,50,186.866173,0.08,0.09249676584734799
28,50,187.105228,0.22,0.23844911147011308
32,50,187.381291,0.18,0.16991206030150754
32,50,187.625346,0.18,0.17583848909150113
28,50,187.876407,0.22,0.2521851731952088
38,50,188.122464,0.12,0.07991872671859127
38,50,188.602574,0.12,0.1145360155743024
36,50,188.861633,0.14,0.14861313868613138
40,50,189.123199,0.1,0.09331306990881459
36,50,189.368255,0.14,0.15532811559301626
40,50,189.628314,0.1,0.12703691386764218
32,50,189.87337,0.18,0.17005769814758578
34,50,190.135433,0.16,0.13184988375954831
32,50,190.38349,0.18,0.16003729024238658
42,50,190.643549,0.08,0.08077053058465698
34,50,190.89061,0.16,0.14175753688261705
30,50,191.151669,0.2,0.19204389574759945
36,50,191.395725,0.14,0.13647342995169082
32,50,191.653787,0.18,0.1920869827846572
28,50,191.896847,0.22,0.20793234179060952
42,50,192.169909,0.08,0.08587915818058384
46,50,192.414968,0.04,0.04682383759004584
38,50,192.675032,0.12,0.09361163820366857
34,50,192.921596,0.16,0.16763942931258105
32,50,193.165652,0.18,0.20620915032679737
38,50,193.410708,0.12,0.13542757417102966
34,50,193.666168,0.16,0.16548463356973994
38,50,194.262305,0.12,0.08381877022653722
40,50,194.535372,0.1,0.11118251928020566
44,50,194.787433,0.06,0.08893346706787028
40,50,195.045492,0.1,0.09090909090909091
30,50,195.287548,0.2,0.19576557226142988
38,50,195.554611,0.12,0.12479688007799805
36,50,195.794668,0.14,0.12971839424805273
46,50,196.060727,0.04,0.03240599205136044
42,50,196.303783,0.08,0.07986638323716976
34,50,196.579846,0.16,0.19068219633943428
42,50,196.827903,0.08,0.10894459919529557
44,50,197.096964,0.06,0.0417713567839196
32,50,197.337152,0.18,0.19882659713168188
34,50,197.610214,0.16,0.18211595152309204
38,50,197.854271,0.12,0.13497128270580727
40,50,198.11533,0.1,0.09247472856608012
30,50,198.353022,0.2,0.20442165972444729
38,50,198.620083,0.12,0.14357262103505844
24,50,198.851135,0.26,0.2844175491679274
36,50,199.109194,0.14,0.12159197743654027
34,50,199.533589,0.16,0.18176504967855056
36,50,199.791649,0.14,0.1471955376510691
44,50,200.042707,0.06,0.07747440273037542
34,50,200.298764,0.16,0.193628209093721
40,50,200.546827,0.1,0.10934919061777337
40,50,200.805886,0.1,0.11479361253389575
32,50,201.04394,0.18,0.17062107466852758
